X,Y,Z
700334.703264,9312892.879160,0.000000,172
700335.510089,9312898.572310,0.000000,173
700378.502556,9312841.624410,0.000000,461
700380.355389,9312812.477410,0.000000,176
700376.677246,9312817.114839,0.000000,177
700366.059818,9312833.789267,0.000000,179
700367.706722,9312889.650077,0.000000,180
700373.925222,9312843.810577,0.000000,181
700367.557789,9312861.231210,0.000000,182
700384.551833,9312880.088854,0.000000,183
700385.166639,9312854.291410,0.000000,185
700281.436818,9312809.703267,0.000000,186
700293.109818,9312796.251124,0.000000,187
700281.197675,9312802.534553,0.000000,188
700276.132556,9312788.132410,0.000000,189
700268.897722,9312797.225077,0.000000,190
700309.768611,9312793.125077,0.000000,191
700316.223389,9312799.101910,0.000000,192
700318.050103,9312820.933553,0.000000,193
700303.334556,9312809.320243,0.000000,194
700290.487722,9312817.682577,0.000000,195
700288.480056,9312809.634743,0.000000,196
700268.228960,9312818.927410,0.000000,197
700276.029722,9312807.591077,0.000000,198
700348.509222,9312796.149743,0.000000,199
700352.962789,9312803.303610,0.000000,201
700341.364833,9312801.029410,0.000000,202
700247.782611,9312751.669743,0.000000,203
700322.754056,9312773.228243,0.000000,204
700342.607056,9312771.900077,0.000000,205
700335.178639,9312777.619910,0.000000,206
700317.049889,9312776.403077,0.000000,208
700290.589689,9312771.697110,0.000000,209
700310.655889,9312771.583410,0.000000,210
700300.649389,9312757.016610,0.000000,211
700268.262722,9312755.391410,0.000000,212
700279.863389,9312766.052410,0.000000,213
700271.477089,9312775.939410,0.000000,214
700322.186032,9312765.287910,0.000000,217
700330.777235,9312764.521179,0.000000,235
700235.262722,9312755.092577,0.000000,218
700247.790222,9312761.507077,0.000000,219
700249.509556,9312772.551743,0.000000,220
700240.747889,9312758.825785,0.000000,221
700245.060246,9312784.085267,0.000000,222
700242.942556,9312768.817743,0.000000,223
700242.903014,9312775.764285,0.000000,224
700250.777389,9312768.323981,0.000000,225
